               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.041774,            0.027206,           0.0070679,             0.67678,              0.3121,             0.32298,             0.15364,            0.042227,            0.024834,           0.0083961,            0.002318,            0.002318,            0.002318
                  77,            0.041562,            0.027469,           0.0073509,             0.64658,              0.3306,             0.32342,             0.15201,            0.042578,            0.024982,           0.0084795,           0.0022196,           0.0022196,           0.0022196
                  78,            0.041648,            0.027534,           0.0073114,             0.69658,             0.31354,             0.32614,             0.15583,            0.042414,             0.02474,           0.0086925,           0.0021245,           0.0021245,           0.0021245
                  79,            0.040942,            0.026562,           0.0069659,             0.62708,             0.32884,             0.31609,              0.1574,            0.042181,             0.02478,           0.0082511,           0.0020327,           0.0020327,           0.0020327
                  80,            0.041279,            0.027443,            0.007068,             0.65698,             0.31729,             0.32308,             0.15494,            0.042029,            0.024725,           0.0086313,           0.0019443,           0.0019443,           0.0019443
                  81,            0.041002,            0.026888,            0.007096,             0.65132,             0.32393,             0.32096,              0.1536,            0.041945,            0.024733,           0.0080782,           0.0018594,           0.0018594,           0.0018594
                  82,             0.04103,            0.027067,           0.0072504,             0.68902,             0.31866,             0.33214,             0.16187,            0.041825,            0.024643,           0.0081468,           0.0017781,           0.0017781,           0.0017781
                  83,             0.04072,            0.026412,           0.0069227,             0.69819,             0.31688,             0.33201,             0.15864,            0.042057,            0.024708,           0.0083492,           0.0017005,           0.0017005,           0.0017005
                  84,            0.041086,            0.027861,           0.0070986,             0.66816,             0.31523,              0.3312,             0.15939,            0.041941,             0.02462,           0.0081256,           0.0016267,           0.0016267,           0.0016267
                  85,             0.04114,            0.027026,           0.0071811,             0.61867,             0.35128,             0.32873,              0.1561,            0.041886,            0.024639,           0.0082778,           0.0015566,           0.0015566,           0.0015566
                  86,            0.040229,            0.026484,           0.0068518,             0.63577,             0.34395,              0.3297,             0.15802,            0.041997,            0.024642,            0.008366,           0.0014905,           0.0014905,           0.0014905
                  87,            0.040786,             0.02741,           0.0068897,             0.67501,             0.32072,             0.33186,             0.16377,            0.041947,            0.024559,           0.0082567,           0.0014283,           0.0014283,           0.0014283
                  88,             0.04039,            0.026573,           0.0068156,             0.67886,             0.32355,             0.33124,             0.16452,            0.041882,            0.024591,           0.0084246,           0.0013701,           0.0013701,           0.0013701
